Variable,Site,Zone,mean,stdev,variance
NN,BP,Ambient,0.1511111111111111,0.05411196332756185,0.0029281045751633986
NN,BP,Diffuse,2.0437142857142856,2.771031965037665,7.678618151260505
NN,BP,Transition,8.8105,9.67601292127246,93.62522605263158
NN,W,Ambient,0.16870967741935483,0.0378366608360966,0.0014316129032258065
NN,W,Diffuse,0.6446875,1.413410390315429,1.9977289314516131
NN,W,Offshore,0.11666666666666667,0.044121045620731464,0.001946666666666667
NN,W,Transition,1.753125,2.506893745255271,6.28451625
Phosphate,BP,Ambient,0.15000000000000002,0.03955636336106924,0.0015647058823529411
Phosphate,BP,Diffuse,0.19,0.07933547533770012,0.006294117647058824
Phosphate,BP,Transition,0.348,0.22390317456201322,0.050132631578947366
Phosphate,W,Ambient,0.11451612903225807,0.01120675679442819,1.255913978494624e-4
Phosphate,W,Diffuse,0.1346875,0.08378098848938263,0.007019254032258064
Phosphate,W,Offshore,0.15833333333333333,0.034302575219167825,0.0011766666666666664
Phosphate,W,Transition,0.2075,0.14919785521246612,0.022260000000000002
Salinity,BP,Ambient,34.65200562388889,0.012945174476135246,1.6757754221758344e-4
Salinity,BP,Diffuse,34.109759344857146,0.5129916506945214,0.26316043368228986
Salinity,BP,Transition,32.7983196425,1.6853765937995842,2.8404942629274887
Salinity,W,Ambient,34.59680236935484,0.025349272711551397,6.425856270046044e-4
Salinity,W,Diffuse,34.0688770053125,1.1166981840748695,1.2470148343161112
Salinity,W,Offshore,34.605651261666665,0.01354721222827887,1.8352695915802855e-4
Salinity,W,Transition,32.92098124875,2.2422077574680612,5.0274956276499525
Silicate,BP,Ambient,1.5572222222222223,0.31030924908123425,0.09629183006535946
Silicate,BP,Diffuse,14.555428571428571,12.296942552295418,151.21479613445376
Silicate,BP,Transition,45.992,40.40022701864304,1632.1783431578947
Silicate,W,Ambient,1.9196774193548387,0.5767869847755336,0.33268322580645165
Silicate,W,Diffuse,13.931875,25.408893215476425,645.6118544354839
Silicate,W,Offshore,1.7183333333333333,0.30824773586624554,0.09501666666666668
Silicate,W,Transition,40.050625,51.01827717837991,2602.86460625
TA,BP,Ambient,2241.507847611111,63.537947440210395,4037.0707649149385
TA,BP,Diffuse,2267.283827,47.728528359714,2278.0124193840234
TA,BP,Transition,2286.98322615,62.60782190493529,3919.7393636800957
TA,W,Ambient,2266.294640387097,23.761540435169,564.6108038521713
TA,W,Diffuse,2264.0638014375,37.72792397768667,1423.3962476661047
TA,W,Offshore,2276.190793,12.031114457014578,144.74771507778516
TA,W,Transition,2260.3304719375,52.85169878962299,2793.3020649490363
Temp_in,BP,Ambient,24.67580547,0.5851621571888257,0.3424147502058799
Temp_in,BP,Diffuse,24.644007764857143,0.9852913482119708,0.9707990408613633
Temp_in,BP,Transition,24.6998520115,1.0763640317521026,1.1585595288496413
Temp_in,W,Ambient,24.619457316129033,0.6819305437162139,0.4650292664530911
Temp_in,W,Diffuse,24.260953154375,0.7497790256527785,0.5621685873088299
Temp_in,W,Offshore,24.38819551,0.21445713728295207,0.045991863731598956
Temp_in,W,Transition,24.02418485375,0.9128667938391838,0.8333257832942308
pH,BP,Ambient,8.094909153944444,0.06744633242264099,0.004549007757265393
pH,BP,Diffuse,8.089001299571429,0.13097980555501051,0.017155709463228364
pH,BP,Transition,8.0739665627,0.14563092471330488,0.02120836623285228
pH,W,Ambient,7.98558064516129,0.0719341245833289,0.005174518279569883
pH,W,Diffuse,7.9805625000000004,0.06955663160332014,0.004838124999999994
pH,W,Offshore,7.987833333333333,0.04170571503603139,0.0017393666666666546
pH,W,Transition,7.9878125,0.07265555151994023,0.005278829166666689
percent_sgd,BP,Ambient,0.19612370544444443,0.039081769428901514,0.001527384701693821
percent_sgd,BP,Diffuse,1.8331774018857143,1.5487333189196406,2.398574893131845
percent_sgd,BP,Transition,5.7924433249,5.088189800925959,25.889675450246948
percent_sgd,W,Ambient,0.2480203384516129,0.0745202821752491,0.005553272455478748
percent_sgd,W,Diffuse,1.79998385009375,3.282802740794335,10.776793834966798
percent_sgd,W,Offshore,0.2220068905,0.03982528898225813,0.0015860536425203707
percent_sgd,W,Transition,5.1744993539375,6.591508679148194,43.44798666728597
